Search Query,Clicks,Impressions,CTR,Average Position,Intent,Group,Sub-Group,Search-Group
carrie light,1,80,1.25,2.91,#ff4000,Product/Designer,Product,Lighting
meet bench,1,40,2.5,2.98,#ff4000,Product/Designer,Product,Bench
menu norm tumbler alarm clock,1,2,50,3,#ff4000,Menu,Product,Accessories
menu column lamp,1,7,14.29,3,#ff4000,Menu,Product,Lighting
carrie led lamp brass,1,11,9.09,3,#ff4000,Product/Designer,Product,Lighting
bottle grinders,2,34,5.88,6.09,#ff4000,Product/Designer,Product,Accessories
nono table menu,1,25,4,3.08,#ff4000,Menu,Product,Table
menu franklin chandelier,2,43,4.65,6.16,#ff4000,Menu,Product,Lighting
pov candleholder,2,24,8.33,6.17,#ff4000,Product/Designer,Product,Accessories
menu baggy wine coat,2,19,10.53,6.21,#ff4000,Menu,Product,Accessories
menu tribeca chandelier,2,28,7.14,6.21,#ff4000,Menu,Product,Lighting
menu shower tray,2,22,9.09,6.32,#ff4000,Menu,Product,Bath
menu harbour swivel chair,2,8,25,6.38,#ff4000,Menu,Product,Chair
menu oil lamp,2,20,10,6.4,#ff4000,Menu,Product,Lighting
gravel rug,1,14,7.14,3.21,#ff4000,Product/Designer,Product,Flooring
tribeca chandelier,1,20,5,3.25,#ff4000,Product/Designer,Product,Lighting
menu toothbrush holder,1,7,14.29,3.29,#ff4000,Menu,Product,Bath
norm architects bottle grinder,2,37,5.41,6.62,#ff4000,Product/Designer,Product,Accessories
menu shane schneck,1,16,6.25,3.31,#ff4000,Menu,Designer,Designer
menuas.com,2,11,18.18,6.64,#ff4000,Menu,Generic,Shop
menu outdoor,2,11,18.18,6.64,#ff4000,Menu,Generic,Gardening
afteroom bar chair plus,1,22,4.55,3.32,#ff4000,Product/Designer,Product,Chair
menu tearoom sofa,2,32,6.25,6.66,#ff4000,Menu,Product,Sofa
jonas wagell,3,132,2.27,9.98,#ff4000,Product/Designer,Designer,Designer
jwda concrete table lamp,2,134,1.49,6.66,#ff4000,Product/Designer,Product,Lighting
menu tableware,1,3,33.33,3.33,#ff4000,Menu,Generic,Table
minimalist stool,2,31,6.45,6.71,#3dff47,Organic,Product,Stool
menu afteroom bar stool,1,28,3.57,3.39,#ff4000,Menu,Product,Stool
menu bollard,4,48,8.33,13.75,#ff4000,Menu,Product,Designer
menu harbour,3,27,11.11,10.33,#ff4000,Menu,Product,Designer
norm bottle grinders,1,9,11.11,3.44,#ff4000,Product/Designer,Product,Accessories
column table lamp menu,1,9,11.11,3.44,#ff4000,Menu,Product,Lighting
menu pepe mirror,1,18,5.56,3.44,#ff4000,Menu,Product,Accessories
stone lamp menu,1,11,9.09,3.45,#ff4000,Menu,Product,Lighting
menu soap dispenser,1,21,4.76,3.48,#ff4000,Menu,Product,Bath
menu warren wall lamp,1,25,4,3.48,#ff4000,Menu,Product,Lighting
danielle siggerud,3,69,4.35,10.49,#ff4000,Product/Designer,Designer,Designer
menu tribeca franklin,2,16,12.5,7,#ff4000,Menu,Designer,Designer
afteroom counter stool,1,52,1.92,3.5,#ff4000,Product/Designer,Product,Stool
menu d„nemark,2,48,4.17,7.02,#ff4000,Menu,Generic,Shop
tr bulb pendant,1,37,2.7,3.51,#ff4000,Product/Designer,Product,Lighting
menu design brand,1,13,7.69,3.54,#ff4000,Menu,Generic,Shop
tribeca warren wall lamp,1,37,2.7,3.57,#ff4000,Product/Designer,Product,Lighting
menu carrie led table lamp,1,7,14.29,3.57,#ff4000,Menu,Product,Lighting
carrie led table lamp,1,14,7.14,3.57,#ff4000,Product/Designer,Product,Lighting
menu bottle carafe,1,12,8.33,3.58,#ff4000,Menu,Product,Accessories
harrison chandelier,1,74,1.35,3.59,#ff4000,Product/Designer,Product,Lighting
menu pov vase,1,5,20,3.6,#ff4000,Menu,Product,Accessories
fungi shelves,2,10,20,7.3,#ff4000,Product/Designer,Product,Fixtures
circle candle holder,1,98,1.02,3.65,#3dff47,Organic,Product,Accessories
menu new norm,3,92,3.26,10.98,#ff4000,Menu,Designer,Designer
carrie led lamp amazon,1,3,33.33,3.67,#ff4000,Product/Designer,Product,Lighting
menu design copenhagen,1,6,16.67,3.67,#ff4000,Menu,Generic,Shop
menu bin,1,12,8.33,3.67,#ff4000,Menu,Product,Accessories
carrie portable led lamp,2,31,6.45,7.35,#ff4000,Product/Designer,Product,Lighting
plinth marble,2,10,20,7.4,#ff4000,Product/Designer,Product,Designer
chambers chandelier,1,25,4,3.72,#ff4000,Product/Designer,Product,Lighting
menu dustpan,1,11,9.09,3.73,#ff4000,Menu,Product,Accessories
jwda,2,734,0.27,7.49,#ff4000,Product/Designer,Product,Designer
bulb suspension,1,4,25,3.75,#ff4000,Product/Designer,Product,Lighting
menu bath series,1,16,6.25,3.75,#ff4000,Menu,Generic,Bath
franklin chandelier menu,1,10,10,3.8,#ff4000,Menu,Product,Lighting
norm oval mirror,2,40,5,7.65,#ff4000,Product/Designer,Product,Accessories
menu leonard chandelier,1,16,6.25,3.88,#ff4000,Menu,Product,Lighting
menu tr pendant,1,26,3.85,3.88,#ff4000,Menu,Product,Lighting
afteroom counter chair,1,36,2.78,3.89,#ff4000,Product/Designer,Product,Chair
menu watering can,1,28,3.57,3.89,#ff4000,Menu,Product,Accessories
menu column table lamp,1,27,3.7,3.93,#ff4000,Menu,Product,Lighting
jwda table lamp marble,1,3,33.33,4,#ff4000,Product/Designer,Product,Lighting
menu no no table,1,6,16.67,4,#ff4000,Menu,Product,Table
bottle salt and pepper grinders,2,19,10.53,8,#ff4000,Product/Designer,Product,Accessories
menu bottle grinder set,4,126,3.17,16.25,#ff4000,Menu,Product,Accessories
task pendant menu,1,12,8.33,4.08,#ff4000,Menu,Product,Lighting
leonard chandelier,2,22,9.09,8.27,#ff4000,Product/Designer,Product,Lighting
menu bottle,3,45,6.67,12.51,#ff4000,Menu,Product,Accessories
menu norm mirror,1,22,4.55,4.23,#ff4000,Menu,Product,Accessories
menu phare lamp,1,8,12.5,4.25,#ff4000,Menu,Product,Lighting
menu bulb pendant,1,14,7.14,4.29,#ff4000,Menu,Product,Lighting
bank pendant menu,1,36,2.78,4.31,#ff4000,Menu,Product,Lighting
menu aer vase,1,14,7.14,4.36,#ff4000,Menu,Product,Accessories
menu yeh table,1,13,7.69,4.38,#ff4000,Menu,Product,Table
menu cast,1,35,2.86,4.46,#ff4000,Menu,Product,Designer
menu danish,1,24,4.17,4.46,#ff4000,Menu,Generic,Shop
tearoom club chair,1,28,3.57,4.46,#ff4000,Product/Designer,Product,Chair
studio theresa rand,1,2,50,4.5,#ff4000,Product/Designer,Designer,Designer
echasse vase small,1,6,16.67,4.5,#ff4000,Product/Designer,Product,Accessories
menu pov candle holder,1,18,5.56,4.5,#ff4000,Menu,Product,Accessories
menu danish furniture,1,17,5.88,4.59,#ff4000,Menu,Generic,Furniture
wine breather decanter,2,63,3.17,9.19,#ff4000,Product/Designer,Product,Accessories
echasse vase large,1,14,7.14,4.64,#ff4000,Product/Designer,Product,Accessories
menu decor,1,22,4.55,4.68,#ff4000,Menu,Generic,Shop
troll vase,1,33,3.03,4.7,#ff4000,Product/Designer,Product,Accessories
menu knitting chair price,1,11,9.09,4.73,#ff4000,Menu,Product,Chair
menu oval mirror,1,17,5.88,4.76,#ff4000,Menu,Product,Accessories
menu reade table lamp,1,14,7.14,4.79,#ff4000,Menu,Product,Lighting
menu rug,1,5,20,4.8,#ff4000,Menu,Product,Flooring
menu wall table,1,5,20,4.8,#ff4000,Menu,Product,Table
wine breather carafe by norm,1,29,3.45,4.83,#ff4000,Product/Designer,Product,Accessories
menu interior design,1,35,2.86,4.83,#ff4000,Menu,Product,Designer
decanting pourer,1,28,3.57,4.86,#ff4000,Product/Designer,Product,Accessories
menu dk,1,72,1.39,4.9,#ff4000,Menu,Product,Designer
new norm thermo cup,1,17,5.88,4.94,#ff4000,Product/Designer,Product,Accessories
norm mirror,1,16,6.25,5,#ff4000,Product/Designer,Product,Accessories
echasse hurricane,1,18,5.56,5.06,#ff4000,Product/Designer,Product,Accessories
new norm menu,1,36,2.78,5.06,#ff4000,Menu,Generic,Shop
menu a/s,1,36,2.78,5.06,#ff4000,Menu,Generic,Shop
wire disc,1,37,2.7,5.11,#3dff47,Organic,Product,Gardening
tr bulb table lamp,1,24,4.17,5.13,#ff4000,Product/Designer,Product,Lighting
eave sofa,1,7,14.29,5.14,#ff4000,Product/Designer,Product,Sofa
turning table menu,1,34,2.94,5.15,#ff4000,Menu,Product,Table
menu interior,1,33,3.03,5.18,#ff4000,Menu,Generic,Shop
menu vase troll,1,5,20,5.2,#ff4000,Menu,Product,Accessories
snaregade oval table,1,26,3.85,5.27,#ff4000,Product/Designer,Product,Table
wine breather menu,1,32,3.13,5.28,#ff4000,Menu,Product,Accessories
menu funiture,1,3,33.33,5.33,#ff4000,Menu,Generic,Furniture
menu tearoom,1,9,11.11,5.33,#ff4000,Menu,Product,Designer
menu staple,1,20,5,5.35,#ff4000,Menu,Product,Designer
family pov,2,32,6.25,10.75,#ff4000,Product/Designer,Product,Accessories
wine breather design by norm,1,23,4.35,5.39,#ff4000,Product/Designer,Product,Accessories
menu x norm decanter,1,23,4.35,5.43,#ff4000,Menu,Product,Accessories
afterroom,1,39,2.56,5.49,#ff4000,Product/Designer,Designer,Designer
snaregade round table,1,22,4.55,5.5,#ff4000,Product/Designer,Product,Table
synnes dining chair,1,25,4,5.52,#ff4000,Product/Designer,Product,Chair
menu water carafe,1,47,2.13,5.57,#ff4000,Menu,Product,Accessories
menu echasse floor vase,1,58,1.72,5.59,#ff4000,Menu,Product,Accessories
jwda metallic table lamp,1,26,3.85,5.62,#ff4000,Product/Designer,Product,Lighting
bottle grinder set,1,77,1.3,5.69,#ff4000,Product/Designer,Product,Accessories
menu design norm,1,10,10,5.7,#ff4000,Menu,Designer,Designer
menu danish steel house,2,25,8,11.4,#ff4000,Menu,Product,Accessories
menu wine aerator,1,36,2.78,5.75,#ff4000,Menu,Product,Accessories
menu norm bath,1,14,7.14,5.79,#ff4000,Menu,Designer,Bath
snaregade table menu,1,5,20,5.8,#ff4000,Menu,Product,Table
nimbus mirror,1,10,10,5.9,#ff4000,Product/Designer,Product,Accessories
menu knobs,1,29,3.45,6.07,#ff4000,Menu,Product,Accessories
menu jakob wagner,1,13,7.69,6.08,#ff4000,Menu,Product,Designer
menu katalog,1,26,3.85,6.08,#ff4000,Menu,Product,Shop
menu jwda table lamp,1,29,3.45,6.1,#ff4000,Menu,Product,Lighting
norm.architects,1,20,5,6.15,#ff4000,Product/Designer,Designer,Designer
menu bottle grinder stainless steel,1,4,25,6.25,#ff4000,Menu,Product,Accessories
menu harbour column table,1,16,6.25,6.25,#ff4000,Menu,Product,Table
menu wire pot,2,120,1.67,12.5,#ff4000,Menu,Product,Gardening
menu tearoom chair,1,22,4.55,6.36,#ff4000,Menu,Product,Chair
gry holmskov,2,24,8.33,12.75,#ff4000,Product/Designer,Designer,Designer
menu marble table,1,33,3.03,6.42,#ff4000,Menu,Product,Table
menu table lamps,1,37,2.7,6.43,#ff4000,Menu,Product,Lighting
the knitting chair,1,22,4.55,6.45,#ff4000,Product/Designer,Product,Chair
menu nimbus mirror,1,17,5.88,6.47,#ff4000,Menu,Product,Accessories
menu.dk,1,40,2.5,6.5,#ff4000,Menu,Generic,Shop
menu tea room sofa,1,15,6.67,6.53,#ff4000,Menu,Product,Sofa
menu homeware,1,42,2.38,6.62,#ff4000,Menu,Generic,Accessories
grethe meyer,2,53,3.77,13.38,#ff4000,Product/Designer,Designer,Designer
menu-echasse floor vase,1,4,25,6.75,#ff4000,Menu,Product,Accessories
norm architects grinder,1,26,3.85,6.77,#ff4000,Product/Designer,Product,Accessories
menu norm toilet roll holder,1,9,11.11,6.78,#ff4000,Menu,Product,Bath
jan kochanski,1,19,5.26,6.79,#ff4000,Product/Designer,Designer,Designer
menu salt pepper grinder,2,10,20,13.7,#ff4000,Menu,Product,Accessories
menu decoration,1,32,3.13,6.94,#ff4000,Menu,Generic,Accessories
jan kocha?ski,1,1,100,7,#ff4000,Product/Designer,Designer,Designer
norm lighting,1,4,25,7,#ff4000,Product/Designer,Product,Lighting
menu design pil bredahl,1,7,14.29,7,#ff4000,Menu,Product,Designer
low bowl,3,183,1.64,21.04,#3dff47,Organic,Product,Dinnerware
menu jwda concrete lamp,1,23,4.35,7.04,#ff4000,Menu,Product,Lighting
norm menu,1,92,1.09,7.04,#ff4000,Menu,Designer,Designer
reade table lamp,1,10,10,7.1,#ff4000,Product/Designer,Product,Lighting
mirror menu,1,38,2.63,7.11,#ff4000,Menu,Product,Accessories
pov chair,1,9,11.11,7.11,#ff4000,Product/Designer,Product,Accessories
menu marble clock,2,37,5.41,14.32,#ff4000,Menu,Product,Accessories
dinnerware starter set,1,6,16.67,7.17,#3dff47,Organic,Product,Dinnerware
franklin chandelier,1,70,1.43,7.36,#ff4000,Product/Designer,Product,Lighting
nono coffee table,1,11,9.09,7.36,#ff4000,Product/Designer,Product,Table
carrie portable led lantern,1,22,4.55,7.36,#ff4000,Product/Designer,Product,Lighting
menu vase echasse,1,22,4.55,7.41,#ff4000,Menu,Product,Accessories
menu snaregade round table,1,3,33.33,7.67,#ff4000,Menu,Product,Table
pov furniture,1,28,3.57,7.93,#ff4000,Product/Designer,Product,Accessories
wine breather carafe,1,138,0.72,7.99,#ff4000,Product/Designer,Product,Accessories
menu bowl,1,3,33.33,8,#ff4000,Menu,Product,Dinnerware
by menu,1,5,20,8,#ff4000,Menu,Generic,Shop
menu accessoires,1,6,16.67,8,#ff4000,Menu,Generic,Accessories
menu nono coffee table,1,6,16.67,8,#ff4000,Menu,Product,Table
gridy fungi shelves,1,9,11.11,8,#ff4000,Product/Designer,Product,Fixtures
cage side table,1,68,1.47,8.03,#3dff47,Organic,Product,Table
norm pepper grinder,1,20,5,8.05,#ff4000,Product/Designer,Product,Accessories
design store,4,522,0.77,32.21,#3dff47,Organic,Generic,Shop
knitting chair menu,1,18,5.56,8.17,#ff4000,Menu,Product,Chair
me n u,1,129,0.78,8.21,#ff4000,Menu,Generic,Shop
carrie led lampe,1,4,25,8.25,#ff4000,Product/Designer,Product,Lighting
lotte douwes,1,23,4.35,8.26,#3dff47,Organic,Product,Designer
tribeca franklin,1,21,4.76,8.29,#ff4000,Product/Designer,Designer,Designer
new norm,1,197,0.51,8.34,#ff4000,Product/Designer,Designer,Designer
menu design png,1,2,50,8.5,#ff4000,Menu,Generic,Shop
menu fungi,1,20,5,8.55,#ff4000,Menu,Product,Designer
blade decanting pourer,2,23,8.7,17.26,#ff4000,Product/Designer,Product,Accessories
tea pot menu,1,13,7.69,8.69,#ff4000,Menu,Product,Dinnerware
plinth,1,9403,0.01,8.7,#ff4000,Product/Designer,Designer,Designer
danish steel house,1,7,14.29,8.71,#3dff47,Organic,Generic,Shop
bjarne hansen menu,1,9,11.11,8.78,#ff4000,Menu,Designer,Designer
watering can menu,1,15,6.67,8.87,#ff4000,Menu,Product,Accessories
wine breather deluxe,1,27,3.7,9.11,#ff4000,Product/Designer,Product,Accessories
menu fungi shelf,1,16,6.25,9.19,#ff4000,Menu,Product,Fixtures
norm architects bathroom,1,33,3.03,9.24,#ff4000,Product/Designer,Product,Bath
menu bottle grinder review,1,10,10,9.4,#ff4000,Menu,Product,Accessories
dinner plate menu,1,23,4.35,9.48,#ff4000,Menu,Product,Dinnerware
recharge lamp,1,2,50,9.5,#3dff47,Organic,Product,Lighting
nick ross designer,1,37,2.7,9.54,#3dff47,Organic,Designer,Designer
menu wire table,1,18,5.56,9.61,#ff4000,Menu,Product,Gardening
menu troll vase amber,1,4,25,9.75,#ff4000,Menu,Product,Accessories
the hanger menu,1,9,11.11,9.78,#ff4000,Menu,Product,Hanger
black towel ladder,1,41,2.44,9.78,#3dff47,Organic,Product,Accessories
bollard lamp menu,1,21,4.76,9.86,#ff4000,Menu,Product,Lighting
menu carrie,1,56,1.79,9.91,#ff4000,Menu,Designer,Designer
menu wine accessories,1,4,25,10.25,#ff4000,Menu,Generic,Accessories
salt and pepper bottle grinders,1,11,9.09,10.27,#ff4000,Product/Designer,Product,Accessories
menu shoe horn,1,22,4.55,10.73,#ff4000,Menu,Product,Accessories
warren wall lamp,1,38,2.63,10.74,#ff4000,Product/Designer,Product,Lighting
menu salt and pepper grinder,1,21,4.76,10.76,#ff4000,Menu,Product,Accessories
towelbar,1,7,14.29,10.86,#3dff47,Organic,Product,Accessories
norm bottle grinder,1,29,3.45,10.9,#ff4000,Product/Designer,Product,Accessories
plinth coffee table,1,11,9.09,11,#ff4000,Product/Designer,Product,Table
povfamily,1,44,2.27,11.18,#ff4000,Product/Designer,Product,Accessories
turning table,1,363,0.28,11.39,#3dff47,Organic,Product,Table
wire pot,1,102,0.98,11.51,#ff4000,Product/Designer,Product,Gardening
white coat hanger,1,71,1.41,11.58,#3dff47,Organic,Product,Hanger
menu ladder,1,3,33.33,11.67,#ff4000,Menu,Product,Accessories
menu wall clock,1,42,2.38,11.76,#ff4000,Menu,Product,Accessories
daybed menu,1,12,8.33,11.83,#ff4000,Menu,Product,Daybed
circular lamp,1,92,1.09,12.11,#3dff47,Organic,Product,Lighting
kenyon yeh,1,16,6.25,12.38,#3dff47,Organic,Designer,Designer
menu vase folded,1,8,12.5,13.25,#ff4000,Menu,Product,Accessories
scandinavian dinner plates,1,4,25,13.75,#3dff47,Organic,Generic,Dinnerware
menu clock,1,72,1.39,14.07,#ff4000,Menu,Product,Accessories
menu pov,2,48,4.17,29.65,#ff4000,Menu,Product,Accessories
grinder menu,1,527,0.19,15.47,#ff4000,Menu,Product,Accessories
wall lamp,1,1248,0.08,15.82,#3dff47,Organic,Product,Lighting
menu logo,1,12,8.33,16,#ff4000,Menu,Generic,Shop
povfamily.com,2,12,16.67,32.75,#ff4000,Product/Designer,Product,Accessories
menu cool breather,1,16,6.25,17.13,#ff4000,Menu,Product,Accessories
bottle grinder menu,1,43,2.33,17.35,#ff4000,Menu,Product,Accessories
pil bredahl,1,14,7.14,20.07,#3dff47,Organic,Designer,Designer
interior design trade accounts,1,3,33.33,21.33,#3dff47,Organic,Generic,Shop
led table lamp,2,418,0.48,42.86,#3dff47,Organic,Product,Lighting
decanter menu,1,8,12.5,24.75,#ff4000,Menu,Product,Accessories
echasse,1,112,0.89,26.21,#ff4000,Product/Designer,Designer,Designer
scandinavian design mirror,1,2,50,27,#3dff47,Organic,Generic,Accessories
portable led lamp,1,314,0.32,29.26,#3dff47,Organic,Product,Lighting
eave,1,92,1.09,29.57,#ff4000,Product/Designer,Product,Designer
towel ladder,1,529,0.19,29.57,#3dff47,Organic,Product,Accessories
marble mirror,1,101,0.99,32.69,#3dff47,Organic,Product,Accessories
wall toothbrush holder,1,29,3.45,33,#3dff47,Organic,Product,Bath
carafe menu,1,24,4.17,35.21,#ff4000,Menu,Product,Accessories
menu pov circle,1,63,1.59,35.9,#ff4000,Menu,Product,Accessories
lounge sofa,1,303,0.33,45.81,#3dff47,Organic,Product,Sofa
scandinavian wall hook,1,1,100,48,#3dff47,Organic,Product,Fixtures
scandinavian dining chairs,1,51,1.96,49.9,#3dff47,Organic,Product,Chair
small wooden jewelry box,1,37,2.7,52.59,#3dff47,Organic,Product,Accessories
modular sofa,1,423,0.24,55.46,#3dff47,Organic,Product,Sofa
scandinavian design store,1,97,1.03,57.87,#3dff47,Organic,Generic,Shop
???? ?????????,1,2,50,66.5,#3dff47,Organic,Product,Table
pernille vea,1,2,50,81,#3dff47,Organic,Designer,Designer
grey marquina,1,1,100,95,#3dff47,Organic,Product,Designer
funiture,1,1,1,1,#3dff47,Organic,Generic,Furniture
bench,1,1,1,1,#3dff47,Organic,Generic,Bench
daybed,1,1,1,1,#3dff47,Organic,Product,Daybed
flooring,1,1,1,1,#3dff47,Organic,Product,Flooring
